Country/Region,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31
Belgium,0,0,705,7594,9467,9747,9841,9895,10016,11625,16645,19528,21092,22077,23016,24230,24955,25173,25241,25380,25602,25994,27015,28331,29052,30179,30826,31439,31754,31918,32228,32516,32673,32902,33061,33228,33557,33717,33814
China,213,2837,3323,4697,4708,4713,4733,4796,4813,4814,4827,4881,4960,5009,5023,5030,5031,5033,5047,5056,5069,5079,5089,5103,5119,5655,12749,14621,14897,14927,15046,15240,15713,15952,15986,17102,97663,101048,101056
France,0,2,3526,24349,28805,29846,30268,30646,31978,36827,52818,64758,76200,86579,95798,104676,109693,111259,112061,114926,117474,118625,120112,124729,131937,139382,143307,146967,149366,150572,153023,155133,156152,158034,159990,163003,165274,166004,166176
Germany,0,0,583,6288,8500,8973,9141,9298,9488,10452,16248,33071,56945,70045,76342,82850,88442,90875,91637,92200,93638,95606,101344,111602,117786,122702,129391,135292,139000,141105,143855,147404,149948,153544,157791,161465,165711,168086,168935
Iran,0,43,2898,6028,7797,10817,16766,21571,26169,34864,48246,55223,57959,60073,62665,71758,80156,84264,90630,107794,120428,126303,129830,131606,132454,136838,140204,141083,141315,141389,141998,143867,144426,144576,144633,144685,144749,144845,144933
Italy,0,29,12428,27967,33415,34767,35141,35483,35894,38618,55576,74159,88516,97699,109346,120807,126128,127566,128063,129221,130921,132100,133828,137402,146498,154767,159383,163507,166697,168353,172086,175595,177092,179101,181098,184642,186833,188094,188322
Japan,0,6,67,481,898,974,1013,1300,1575,1770,2152,3492,5753,7897,9176,10243,13059,14784,15193,16067,17651,18267,18360,18392,18815,23670,28124,29571,30623,31281,32613,39942,44918,46765,49652,57274,68099,72395,72997
"Korea, South",0,16,162,248,271,282,301,324,415,466,526,917,1425,1605,1735,1831,1963,2021,2098,2292,2497,2858,3659,5625,6772,8170,16590,22875,24197,24555,25068,26876,28445,29209,30568,32219,33486,33988,34093
Netherlands,0,0,1040,4811,5975,6132,6166,6252,6457,7459,9453,11525,14108,15688,16689,17398,17897,18028,18114,18368,18584,18850,19863,21392,21809,22142,22583,22855,22933,23000,23122,23239,23292,23459,23568,23697,23702,23705,23705
Portugal,0,0,160,989,1410,1576,1735,1822,1971,2507,4505,6906,12482,16317,16848,16974,17025,17096,17361,17743,17975,18157,18441,18955,19905,21063,21695,22280,23115,24149,24592,24855,25031,25228,25450,25714,26022,26117,26266
Spain,0,0,8464,24543,27127,28355,28445,29094,31791,35878,45069,50837,58319,69142,75459,78216,79953,80875,81486,84340,86415,87368,88052,89405,93225,99410,102218,104456,106341,107906,110719,112600,114179,115078,115901,117095,118434,119380,119479
US,0,1,5359,66638,107857,127432,153969,182794,205957,230545,270601,350604,446602,511827,548349,572156,590261,600689,609480,637765,696889,744886,779427,825468,888905,950322,983142,996086,1007077,1017377,1030088,1046240,1059507,1070376,1080466,1092764,1108688,1119917,1123836
United Kingdom,1,3,5145,39062,52569,56284,57434,57984,58875,64308,77759,95107,131791,148638,152949,154069,154499,154982,156844,160192,164640,169243,173763,177869,184634,188575,193028,198162,200321,201790,205481,207831,209268,212350,214179,217054,220064,220721,220721
